Year,Weapon,Amount
1997,Chemical,5
1997,Explosives,1128
1997,Fake Weapons,1
1997,Firearms,989
1997,Incendiary,208
1997,Melee,208
1997,Unknown,634
1997,Vehicle,2
1998,Chemical,14
1998,Explosives,522
1998,Fake Weapons,1
1998,Firearms,242
1998,Incendiary,62
1998,Melee,41
1998,Sabotage Equipment,2
1998,Unknown,38
1999,Chemical,9
1999,Explosives,635
1999,Firearms,432
1999,Incendiary,146
1999,Melee,49
1999,Other,13
1999,Sabotage Equipment,1
1999,Unknown,98
1999,Vehicle,1
2000,Biological,1
2000,Chemical,7
2000,Explosives,929
2000,Fake Weapons,1
2000,Firearms,536
2000,Incendiary,134
2000,Melee,55
2000,Other,1
2000,Radiological,10
2000,Sabotage Equipment,2
2000,Unknown,110
2001,Biological,17
2001,Chemical,10
2001,Explosives,775
2001,Firearms,666
2001,Incendiary,135
2001,Melee,57
2001,Other,1
2001,Sabotage Equipment,4
2001,Unknown,113
2001,Vehicle,5
2002,Chemical,10
2002,Explosives,694
2002,Firearms,365
2002,Incendiary,82
2002,Melee,34
2002,Other,2
2002,Unknown,59
2002,Vehicle,1
2003,Biological,2
2003,Chemical,16
2003,Explosives,669
2003,Fake Weapons,2
2003,Firearms,376
2003,Incendiary,89
2003,Melee,29
2003,Other,1
2003,Sabotage Equipment,2
2003,Unknown,45
2003,Vehicle,2
2004,Biological,1
2004,Chemical,2
2004,Explosives,662
2004,Firearms,368
2004,Incendiary,30
2004,Melee,15
2004,Unknown,53
2004,Vehicle,1
2005,Biological,1
2005,Chemical,1
2005,Explosives,1057
2005,Fake Weapons,1
2005,Firearms,722
2005,Incendiary,69
2005,Melee,33
2005,Sabotage Equipment,1
2005,Unknown,94
2006,Explosives,1505
2006,Firearms,955
2006,Incendiary,95
2006,Melee,58
2006,Other,2
2006,Sabotage Equipment,1
2006,Unknown,105
2006,Vehicle,2
2007,Chemical,9
2007,Explosives,1847
2007,Firearms,1052
2007,Incendiary,84
2007,Melee,58
2007,Radiological,1
2007,Sabotage Equipment,11
2007,Unknown,92
2008,Chemical,9
2008,Explosives,2723
2008,Fake Weapons,1
2008,Firearms,1292
2008,Incendiary,251
2008,Melee,102
2008,Other,3
2008,Sabotage Equipment,10
2008,Unknown,350
2008,Vehicle,1
2009,Chemical,8
2009,Explosives,2666
2009,Firearms,1264
2009,Incendiary,349
2009,Melee,72
2009,Other,5
2009,Sabotage Equipment,8
2009,Unknown,337
2009,Vehicle,2
2010,Biological,1
2010,Chemical,8
2010,Explosives,2713
2010,Fake Weapons,2
2010,Firearms,1366
2010,Incendiary,267
2010,Melee,99
2010,Sabotage Equipment,7
2010,Unknown,349
2010,Vehicle,3
2011,Biological,1
2011,Chemical,1
2011,Explosives,2746
2011,Fake Weapons,1
2011,Firearms,1627
2011,Incendiary,206
2011,Melee,123
2011,Other,1
2011,Sabotage Equipment,17
2011,Unknown,329
2011,Vehicle,4
2012,Chemical,15
2012,Explosives,5400
2012,Firearms,2490
2012,Incendiary,257
2012,Melee,54
2012,Other,2
2012,Sabotage Equipment,4
2012,Unknown,273
2012,Vehicle,4
2013,Biological,3
2013,Chemical,14
2013,Explosives,7243
2013,Firearms,3644
2013,Incendiary,485
2013,Melee,97
2013,Other,7
2013,Sabotage Equipment,5
2013,Unknown,473
2013,Vehicle,1
2014,Chemical,17
2014,Explosives,9450
2014,Fake Weapons,2
2014,Firearms,5015
2014,Incendiary,623
2014,Melee,204
2014,Other,14
2014,Sabotage Equipment,1
2014,Unknown,1438
2014,Vehicle,6
2015,Chemical,22
2015,Explosives,8341
2015,Firearms,3921
2015,Incendiary,667
2015,Melee,281
2015,Other,8
2015,Sabotage Equipment,10
2015,Unknown,1464
2015,Vehicle,5
2016,Chemical,29
2016,Explosives,7583
2016,Firearms,3451
2016,Incendiary,614
2016,Melee,251
2016,Other,10
2016,Sabotage Equipment,8
2016,Unknown,1480
2016,Vehicle,4
2017,Chemical,27
2017,Explosives,5445
2017,Fake Weapons,1
2017,Firearms,3132
2017,Incendiary,645
2017,Melee,277
2017,Other,10
2017,Sabotage Equipment,11
2017,Unknown,1254
2017,Vehicle,15
