Year,Killed,Wounded,Population
1997,10924,9072,5287510954
1998,4688,8183,4879374165
1999,3393,5341,5262990677
2000,4403,5869,5280303060
2001,7729,22774,5413081033
2002,4805,7162,5173632869
2003,3317,7384,5355647820
2004,5743,12022,4874314547
2005,6331,12784,5030026774
2006,9380,15550,4029582322
2007,12824,22524,3977682196
2008,9157,18998,5770159557
2009,9273,19138,5770324218
2010,7827,15947,5618234816
2011,8246,14659,5557614000
2012,15497,25445,6052673802
2013,22273,37688,6289176172
2014,44490,41128,6479845975
2015,38853,44043,6692135594
2016,34871,40001,6815218987
2017,26445,24927,6624015910
